rep,fold,row_id,actual,prediction
1,CHEMBL1241674,5.0,5.116549999999998
1,CHEMBL1287853,5.0,5.109339999999999
1,CHEMBL1289926,5.0,5.1838549999999985
1,CHEMBL1614701,5.0,5.0557
1,CHEMBL1721885,6.071,5.4040700000000035
1,CHEMBL1789941,5.0,5.118519999999999
1,CHEMBL1908391,5.0,5.057319999999999
1,CHEMBL1908392,6.377,5.25856
2,CHEMBL1908393,5.0,5.206933333333333
2,CHEMBL1908394,5.0,5.166791666666667
2,CHEMBL1908395,5.481,5.291770000000001
2,CHEMBL1908396,5.0,5.029189999999999
2,CHEMBL1908397,5.301,5.209599999999999
2,CHEMBL2309006,7.523,5.897820000000001
2,CHEMBL2309609,5.959,5.853140000000001
2,CHEMBL525191,5.0,5.00959
3,CHEMBL445813,5.0,5.08651
3,CHEMBL572881,5.0,5.10983
3,CHEMBL574738,6.328,5.145996666666666
3,CHEMBL558752,5.0,5.0439799999999995
3,CHEMBL10,5.0,5.02612
3,CHEMBL440084,5.0,5.11176
3,CHEMBL535,6.201,5.4653500000000035
3,CHEMBL14762,5.0,5.12101
4,CHEMBL428690,5.0,5.172550000000001
4,CHEMBL553,5.0,5.044309999999999
4,CHEMBL554,5.0,5.07976
4,CHEMBL278041,5.0,5.0873
4,CHEMBL24828,5.0,5.05522
4,CHEMBL31965,5.0,5.0518600000000005
4,CHEMBL288441,5.0,5.177310000000001
4,CHEMBL296468,5.0,5.264670000000001
5,CHEMBL300138,5.0,5.135389999999998
5,CHEMBL162,7.377,5.917050000000002
5,CHEMBL939,5.0,5.04066
5,CHEMBL941,5.0,5.04042
5,CHEMBL91829,5.585,5.256779999999999
5,CHEMBL101253,5.0,5.095844
5,CHEMBL103667,5.0,5.239459999999999
5,CHEMBL105442,5.0,5.15629
6,CHEMBL119385,5.0,5.22655
6,CHEMBL124660,5.0,5.09486
6,CHEMBL1336,5.0,5.179729999999998
6,CHEMBL180022,5.0,5.08301
6,CHEMBL191003,5.0,5.02964
6,CHEMBL377300,5.0,5.17984
6,CHEMBL379218,5.959,5.206000000000001
6,CHEMBL386051,5.0,5.21752
7,CHEMBL384304,5.0,5.0350399999999995
7,CHEMBL1421,5.0,5.139039999999999
7,CHEMBL215152,5.0,5.166769999999998
7,CHEMBL221959,5.0,5.10401
7,CHEMBL223360,5.339,5.13765
7,CHEMBL230011,5.347,5.09486
7,CHEMBL249697,5.0,5.08333
7,CHEMBL255863,5.0,5.15154
8,CHEMBL259084,5.0,5.118280000000001
8,CHEMBL261849,5.0,5.11128
8,CHEMBL572878,5.26,5.11223
8,CHEMBL450786,5.0,5.472070000000001
8,CHEMBL509032,5.796,5.173129999999999
8,CHEMBL491473,5.0,5.04033
8,CHEMBL475251,5.0,5.150313333333333
8,CHEMBL494089,5.0,5.152200000000001
9,CHEMBL521851,5.0,5.214269999999999
9,CHEMBL477772,5.0,5.05703
9,CHEMBL513909,5.0,5.260689999999999
9,CHEMBL522892,5.77,5.208420000000002
9,CHEMBL464552,5.0,5.204589999999999
9,CHEMBL483321,5.0,5.1630899999999995
9,CHEMBL573339,5.0,5.108819999999998
9,CHEMBL576982,5.0,5.134539999999999
10,CHEMBL608154,5.0,5.110169999999998
10,CHEMBL601719,5.0,5.157889999999998
10,CHEMBL607707,5.0,5.13129
10,CHEMBL1173655,5.0,5.05119
10,CHEMBL1230020,5.0,5.17976
10,CHEMBL1236107,5.0,5.140919999999999
10,CHEMBL1240703,5.0,5.9409600000000005
